Open,High,Low,Close
7169.32,7182.14,7156.85,7175.55
7175.55,7185.0,7168.0,7173.32
7173.75,7180.0,7165.1,7173.95
7173.56,7187.89,7169.36,7176.41
7176.51,7186.7,7171.01,7185.64
7185.49,7188.93,7180.1,7186.19
7185.92,7194.0,7181.78,7192.9
7192.42,7208.41,7182.34,7200.48
7200.52,7204.94,7185.86,7190.51
7190.79,7206.29,7185.76,7195.23
7195.24,7196.25,7175.47,7178.45
7178.19,7185.44,7175.46,7177.02
7176.47,7217.0,7175.71,7212.1
7212.1,7230.0,7204.28,7216.27
7215.52,7238.88,7211.41,7228.09
7227.12,7244.87,7226.79,7242.85
7242.66,7245.0,7220.1,7237.15
7237.82,7244.33,7220.0,7225.01
7225.0,7229.88,7215.03,7222.23
7221.21,7230.0,7216.18,7217.27
7217.26,7229.76,7216.65,7220.18
7220.17,7228.16,7218.05,7224.21
7224.24,7236.27,7222.87,7233.71
7233.28,7233.89,7221.51,7225.62
7225.88,7232.94,7223.32,7231.27
7231.04,7232.86,7199.11,7209.83
7209.83,7210.0,7186.71,7189.97
7189.97,7202.74,7180.0,7200.64
7200.29,7210.51,7190.02,7196.98
7197.25,7204.0,7188.0,7188.77
7189.07,7206.78,7185.2,7205.95
7205.95,7210.0,7197.99,7202.0
7202.01,7237.73,7200.32,7222.83
7222.96,7234.57,7188.61,7197.2
7197.2,7221.14,7196.15,7211.23
7211.35,7233.33,7206.41,7225.59
7225.84,7230.5,7212.88,7221.79
7221.93,7231.89,7216.0,7221.2
7221.17,7233.23,7208.17,7231.37
7231.32,7234.97,7216.51,7221.43
7221.6,7232.59,7218.29,7228.13
7228.13,7255.0,7218.46,7234.19
7234.2,7238.47,7214.0,7218.68
7218.61,7246.42,7216.77,7245.37
7244.34,7249.99,7224.92,7244.73
7244.76,7244.97,7232.87,7236.83
7237.02,7246.72,7232.02,7236.28
7235.22,7243.39,7225.17,7240.67
7240.8,7241.0,7226.0,7227.72
7227.83,7237.36,7225.49,7229.48
7229.48,7241.56,7224.68,7239.4
7239.08,7242.98,7229.7,7236.73
7237.26,7242.75,7227.5,7229.84
7230.27,7238.23,7227.0,7233.17
7233.32,7234.49,7213.0,7215.78
7215.38,7215.38,7186.0,7197.99
7197.62,7199.0,7175.15,7195.4
7194.84,7204.17,7182.39,7200.85
7200.77,7200.99,7185.46,7198.69
7198.68,7212.5,7197.76,7211.02
7211.04,7211.16,7188.68,7190.18
7190.19,7195.62,7185.11,7190.99
7190.99,7191.0,7156.8,7166.04
7166.0,7171.71,7155.35,7169.02
7169.04,7169.06,7153.33,7157.64
7156.62,7161.0,7120.37,7129.61
7129.25,7161.0,7116.7,7145.01
7145.01,7155.65,7130.46,7142.21
7142.61,7152.05,7135.4,7140.62
7141.61,7148.92,7126.93,7138.93
7138.93,7149.0,7135.0,7146.58
7145.96,7149.02,7121.43,7135.97
7136.04,7140.63,7107.0,7111.58
7111.56,7128.93,7105.0,7110.57
7110.98,7145.0,7109.11,7130.92
7131.5,7157.48,7130.0,7154.36
7153.57,7154.16,7139.6,7145.17
7145.35,7165.0,7135.36,7162.01
7162.18,7178.36,7158.04,7177.14
7177.24,7180.0,7153.33,7161.83
7161.89,7168.67,7145.0,7149.51
7149.58,7154.79,7139.03,7139.79
7139.73,7163.4,7139.03,7157.41
7157.08,7158.9,7142.49,7158.29
7158.86,7163.35,7144.86,7146.73
7147.46,7147.79,7107.43,7131.15
7131.18,7144.23,7122.34,7133.19
7133.86,7157.1,7130.3,7135.59
7135.59,7152.0,7123.46,7128.0
7128.0,7136.21,7120.0,7130.98
7130.37,7146.85,7109.8,7119.18
7119.43,7125.96,7020.0,7052.32
7052.32,7053.09,6924.74,6950.0
6950.31,6984.06,6948.53,6970.04
6970.04,6976.56,6949.96,6965.0
6965.0,6989.68,6959.41,6974.02
6974.02,6989.82,6960.0,6976.24
6975.93,6995.0,6969.17,6983.27
6982.63,6983.22,6941.27,6949.02
6949.93,6971.21,6946.02,6948.49
6948.16,6968.88,6946.2,6967.39
6967.7,6985.0,6961.22,6977.73
6977.55,6978.24,6963.02,6966.71
6966.71,6976.32,6963.02,6974.8
6974.8,6974.8,6950.0,6962.34
6962.47,6974.75,6957.66,6965.71
6965.49,6966.47,6948.0,6955.63
6955.65,6955.78,6912.88,6937.0
6937.0,6946.07,6932.01,6936.99
6935.72,6937.1,6878.19,6888.85
6888.26,6947.38,6871.04,6943.11
6942.29,6966.8,6942.29,6956.88
6957.66,6966.36,6946.51,6957.04
6957.11,6958.37,6940.0,6952.04
6952.04,7053.02,6948.64,7017.01
7017.18,7264.71,7004.11,7210.19
7210.2,7249.0,7168.48,7178.0
7178.0,7226.51,7174.7,7220.47
7220.49,7225.0,7193.08,7199.73
7199.65,7216.98,7190.14,7202.22
7202.06,7231.57,7201.0,7223.46
7223.25,7232.0,7185.04,7203.21
7202.28,7231.93,7202.28,7216.74
7216.8,7297.29,7216.68,7260.6
7260.64,7335.95,7256.56,7310.81
7310.86,7358.88,7298.08,7348.42
7349.3,7371.92,7323.01,7331.21
7331.28,7342.53,7281.3,7312.25
7312.26,7341.17,7306.61,7327.52
7328.15,7346.0,7313.33,7340.46
7340.46,7350.19,7320.02,7338.26
7338.43,7339.41,7303.14,7322.78
7324.1,7331.02,7311.59,7330.15
7329.54,7380.0,7320.58,7348.87
7348.36,7362.31,7229.3,7261.57
7260.11,7278.95,7250.01,7254.73
7255.49,7276.99,7252.48,7269.0
7269.79,7322.44,7263.47,7320.18
7320.17,7405.0,7293.1,7368.55
7365.93,7395.0,7340.11,7386.03
7388.21,7403.2,7335.21,7361.56
7361.86,7381.78,7351.03,7355.26
7355.23,7364.0,7330.32,7349.3
7349.3,7369.47,7340.11,7342.96
7342.95,7343.69,7280.0,7332.84
7332.86,7352.33,7319.88,7343.08
7343.62,7361.0,7297.01,7323.06
7323.06,7334.16,7311.0,7316.99
7317.01,7335.0,7306.89,7325.69
7325.69,7330.52,7262.68,7283.0
7281.69,7309.0,7266.99,7269.78
7271.06,7320.54,7260.01,7300.56
7301.32,7346.08,7291.75,7335.94
7336.47,7345.0,7313.18,7344.96
7345.0,7350.0,7309.38,7316.39
7316.97,7317.0,7289.98,7302.24
7304.96,7308.69,7280.85,7303.03
7302.18,7312.58,7297.82,7309.16
7308.71,7314.7,7299.13,7306.66
7304.92,7328.99,7296.18,7327.83
7328.21,7339.0,7318.56,7320.86
7320.87,7339.69,7319.41,7333.11
7333.14,7333.2,7312.65,7326.84
7326.69,7338.46,7323.25,7334.86
7334.59,7350.08,7325.0,7346.09
7346.85,7369.28,7340.0,7344.69
7344.7,7367.88,7340.02,7358.09
7358.4,7360.31,7340.0,7354.96
7354.95,7363.63,7327.32,7328.62
7329.12,7353.0,7328.24,7348.11
7348.04,7348.45,7330.0,7346.86
7346.8,7365.0,7345.06,7346.59
7346.4,7349.0,7339.28,7347.84
7347.73,7369.18,7344.28,7363.88
7364.32,7369.63,7351.3,7362.04
7361.38,7365.92,7304.36,7318.3
7318.15,7339.26,7302.1,7324.5
7324.5,7339.27,7320.1,7336.45
7336.75,7339.58,7317.05,7325.84
7326.74,7330.17,7305.0,7312.89
7312.79,7326.49,7303.12,7311.96
7311.88,7315.95,7291.0,7303.88
7303.72,7317.55,7296.44,7311.8
7311.4,7323.74,7308.22,7316.72
7315.51,7332.0,7305.0,7327.11
7327.12,7331.37,7314.42,7318.99
7318.98,7323.26,7301.18,7308.94
7308.81,7313.0,7297.91,7307.11
7308.0,7327.61,7305.0,7326.66
7326.66,7352.0,7325.0,7351.99
7351.36,7356.58,7334.01,7351.31
7351.31,7404.0,7272.21,7306.92
7306.6,7330.0,7283.01,7317.9
7317.9,7353.84,7313.45,7334.83
7334.89,7352.64,7310.67,7337.49
7337.51,7350.0,7332.31,7341.06
7340.9,7353.35,7330.72,7350.22
7350.82,7367.31,7340.33,7350.68
7350.72,7356.21,7342.67,7344.2
7345.05,7359.7,7343.2,7350.24
7350.05,7354.72,7328.9,7335.9
7335.88,7363.0,7329.98,7354.11
7354.19,7393.0,7354.11,7380.73
7380.74,7386.52,7359.31,7373.48
7373.43,7472.14,7373.43,7460.6
7460.24,7481.87,7430.0,7459.18
7459.91,7482.87,7432.79,7448.93
7448.71,7462.15,7441.12,7443.79
7443.92,7459.99,7439.33,7452.46
7451.8,7478.0,7451.8,7475.99
7476.0,7495.0,7444.0,7455.25
7455.23,7463.98,7445.78,7457.14
7457.18,7461.35,7444.0,7453.42
7453.31,7470.0,7452.16,7459.12
7458.51,7481.25,7447.05,7455.5
7455.48,7461.65,7437.4,7457.5
7457.83,7459.26,7442.0,7445.94
7445.98,7470.36,7445.98,7463.63
7463.64,7472.0,7448.0,7451.06
7450.5,7453.96,7410.0,7430.05
7430.0,7436.84,7400.0,7427.61
7427.53,7429.1,7400.67,7427.74
7427.7,7432.28,7418.77,7421.38
7421.35,7424.53,7403.21,7415.12
7415.1,7431.19,7410.0,7429.4
7429.49,7440.0,7421.15,7422.33
7422.27,7460.46,7421.93,7442.98
7443.59,7458.04,7435.81,7457.01
7457.79,7458.0,7416.43,7420.81
7420.56,7441.3,7415.0,7431.15
7431.16,7444.0,7425.0,7441.23
7441.28,7444.73,7431.01,7431.82
7431.71,7466.54,7430.99,7458.54
7458.54,7476.31,7441.37,7468.42
7467.91,7481.96,7455.48,7473.36
7474.1,7484.0,7450.0,7461.38
7461.26,7470.0,7445.15,7466.6
7466.63,7470.76,7458.24,7464.65
7464.62,7468.87,7439.37,7439.37
7439.42,7446.76,7421.77,7438.72
7439.02,7449.69,7427.1,7449.0
7449.01,7449.01,7434.77,7444.14
7444.71,7445.0,7428.34,7430.82
7430.69,7439.98,7426.0,7431.6
